,production_budget,worldwide_gross,title_year,aspect_ratio,duration.1,cast_total_facebook_likes,budget,imdb_score
0,425000000.0,2783918982.0,2009.0,1.78,178.0,4834.0,237000000.0,7.9
1,306000000.0,2058662225.0,2002.1307333823888,2.1269761542364285,108.5771861260381,143.0,40455386.33009198,7.1
2,300000000.0,963420425.0,2007.0,2.35,169.0,48350.0,300000000.0,7.1
3,300000000.0,879620923.0,2015.0,2.35,148.0,11700.0,245000000.0,6.8
4,275000000.0,1084439099.0,2012.0,2.35,164.0,106759.0,250000000.0,8.5
5,275000000.0,260002115.0,2013.0,2.35,150.0,45757.0,215000000.0,6.5
6,275000000.0,282778100.0,2012.0,2.35,132.0,1873.0,263700000.0,6.6
7,260000000.0,586581936.0,2010.0,1.85,100.0,2036.0,260000000.0,7.8
8,258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2
9,258000000.0,890875303.0,2007.0,2.35,156.0,46055.0,258000000.0,6.2
10,250000000.0,1404705868.0,2015.0,2.35,141.0,92000.0,250000000.0,7.5
11,250000000.0,1150864745.0,2016.0,2.35,147.0,64798.0,250000000.0,8.2
12,250000000.0,868160194.0,2016.0,2.35,183.0,24450.0,250000000.0,6.9
13,250000000.0,1017003568.0,2012.0,2.35,182.0,9152.0,180000000.0,7.9
14,250000000.0,935083686.0,2009.0,2.35,153.0,58753.0,250000000.0,7.5
15,250000000.0,960366855.0,2013.0,2.35,186.0,9152.0,225000000.0,7.9
16,250000000.0,955119788.0,2014.0,2.35,164.0,9152.0,250000000.0,7.5
17,250000000.0,1045663875.0,2011.0,2.35,136.0,54083.0,250000000.0,6.7
18,232000000.0,374085065.0,2006.0,2.35,169.0,29991.0,209000000.0,6.1
19,230000000.0,591692078.0,2008.0,2.35,106.0,2023.0,200000000.0,6.7
20,225000000.0,1066215812.0,2006.0,2.35,151.0,48486.0,225000000.0,7.3
21,225000000.0,667999518.0,2013.0,2.35,143.0,20495.0,225000000.0,7.2
22,225000000.0,417341288.0,2008.0,2.35,150.0,22697.0,225000000.0,6.6
23,220000000.0,757890267.0,2012.0,2.35,153.0,28489.0,230000000.0,7.0
24,215000000.0,1670328025.0,2015.0,2.0,124.0,8458.0,150000000.0,7.0
25,210000000.0,836519699.0,2009.0,2.35,150.0,3218.0,200000000.0,6.0
26,210000000.0,1104039076.0,2014.0,2.35,165.0,3988.0,210000000.0,5.7
27,210000000.0,459359555.0,2006.0,2.35,104.0,21714.0,210000000.0,6.8
28,210000000.0,322241588.0,2010.0,2.35,156.0,3244.0,200000000.0,6.7
29,209000000.0,305218228.0,2012.0,2.35,131.0,26679.0,209000000.0,5.9
30,200000000.0,2207615668.0,1997.0,2.35,194.0,45223.0,200000000.0,7.7
31,200000000.0,1069818229.0,2010.0,1.85,103.0,19085.0,200000000.0,8.3
32,200000000.0,1215392272.0,2013.0,2.35,195.0,30426.0,200000000.0,7.2
33,200000000.0,783705001.0,2004.0,2.35,135.0,43388.0,200000000.0,7.3
34,200000000.0,1110526981.0,2012.0,2.35,143.0,2039.0,200000000.0,7.8
35,200000000.0,1110526981.0,2012.0,2.35,143.0,2039.0,200000000.0,7.8
36,200000000.0,743588329.0,2013.0,1.85,104.0,14863.0,200000000.0,7.3
37,200000000.0,490359051.0,2013.0,2.35,130.0,73441.0,215000000.0,6.4
38,200000000.0,490359051.0,2013.0,2.35,130.0,73441.0,215000000.0,6.4
39,200000000.0,747862775.0,2014.0,2.35,149.0,91434.0,200000000.0,8.0
40,200000000.0,708996336.0,2014.0,2.35,142.0,28631.0,200000000.0,6.7
41,200000000.0,560155383.0,2011.0,2.35,106.0,4482.0,200000000.0,6.3
42,200000000.0,397562763.0,2010.0,2.35,125.0,25550.0,170000000.0,6.8
43,200000000.0,397562763.0,2010.0,2.35,125.0,25549.0,170000000.0,6.8
44,200000000.0,788408539.0,2009.0,2.35,158.0,2144.0,200000000.0,5.8
45,200000000.0,365491792.0,2009.0,2.35,118.0,27468.0,200000000.0,6.6
46,200000000.0,231201172.0,2011.0,2.35,123.0,17657.0,200000000.0,5.6
47,200000000.0,314594597.0,2010.0,2.35,116.0,16149.0,200000000.0,6.6
48,195000000.0,1123790543.0,2011.0,2.35,154.0,2593.0,195000000.0,6.3
49,195000000.0,197687603.0,2013.0,2.35,114.0,1766.0,195000000.0,6.3
50,190000000.0,1514019071.0,2015.0,2.35,140.0,79150.0,190000000.0,7.2
51,190000000.0,467381584.0,2013.0,2.35,132.0,21411.0,190000000.0,7.8
52,190000000.0,531514650.0,2013.0,2.35,123.0,32392.0,190000000.0,7.0
53,190000000.0,315709697.0,2009.0,2.35,96.0,48878.0,200000000.0,6.8
54,190000000.0,411002906.0,2013.0,1.85,131.0,19166.0,190000000.0,7.0
55,187500000.0,334354269.0,2015.0,2.35,93.0,696.0,40455386.33009198,6.8
56,186000000.0,582443126.0,2008.0,2.35,126.0,39252.0,140000000.0,7.9
57,185000000.0,1002891358.0,2008.0,2.35,152.0,57802.0,185000000.0,9.0
58,185000000.0,786558145.0,2008.0,2.35,122.0,14959.0,185000000.0,6.2
59,185000000.0,554606532.0,2012.0,2.35,93.0,5005.0,185000000.0,7.2
60,185000000.0,196968626.0,2016.0,2.35,122.0,1327.0,185000000.0,7.5
61,180000000.0,720539572.0,2005.0,2.35,150.0,1317.0,180000000.0,6.9
62,180000000.0,758536735.0,2014.0,2.35,97.0,15516.0,180000000.0,7.0
63,180000000.0,532590994.0,2008.0,2.35,98.0,2975.0,180000000.0,8.4
64,180000000.0,180047784.0,2011.0,1.85,126.0,36017.0,170000000.0,7.5
65,179000000.0,181982519.0,2015.0,2.35,127.0,47334.0,176000000.0,5.4
